all_mean	work_mean	week_mean
4.114713216957606	4.258064516129032	4.071428571428571
3.5725490196078433	3.3969465648854964	3.7580645161290325
3.0673400673400675	3.4827586206896552	3.0223880597014925
3.948529411764706	3.8640776699029127	4.212121212121212
2.96	3.642857142857143	2.935233160621762
3.5833333333333335	3.95	3.5
4.199430199430199	4.223140495867769	4.146788990825688
3.068561872909699	3.136801541425819	2.6202531645569622
3.712962962962963	3.6804123711340204	4.0
3.4285714285714284	3.359550561797753	4.111111111111111
4.347107438016529	4.323076923076923	4.375
3.364705882352941	3.3677685950413223	3.3076923076923075
4.046511627906977	4.129032258064516	3.8333333333333335
4.005714285714285	3.9662162162162162	4.222222222222222
4.172413793103448	4.4375	3.4347826086956523
4.016949152542373	4.035398230088496	3.6
3.1025641025641026	3.0344827586206895	3.3
4.3125	4.7	4.2105263157894735
3.511111111111111	4.333333333333333	3.5
2.7581395348837208	2.698581560283688	2.8716216216216215
3.2149532710280373	3.182795698924731	3.4285714285714284
3.128787878787879	3.6724137931034484	2.7027027027027026
3.347826086956522	2.8125	3.6333333333333333
3.5428571428571427	3.5306122448979593	3.7142857142857144
3.619047619047619	3.8378378378378377	3.3076923076923075
3.401315789473684	3.5405405405405403	3.232727272727273
4.173913043478261	4.0	4.363636363636363
3.8448275862068964	4.0	3.608695652173913
3.3966101694915256	3.451737451737452	3.0
3.074074074074074	3.0962199312714778	3.0
3.8181818181818183	3.702127659574468	4.5
3.9408783783783785	3.8463855421686746	4.061538461538461
4.021551724137931	3.8983050847457625	4.149122807017544
3.653927813163482	3.632911392405063	3.763157894736842
3.5	3.4285714285714284	3.6666666666666665
2.1828793774319064	2.1812227074235806	2.1964285714285716
3.6878048780487807	3.6805896805896805	4.666666666666667
3.5670289855072466	3.61271676300578	2.8484848484848486
3.9679144385026737	3.991111111111111	3.873873873873874
4.083333333333333	4.25	3.6666666666666665
4.083932853717027	4.188405797101449	3.980952380952381
3.3333333333333335	3.2	3.36
3.0914285714285716	2.712962962962963	3.1894484412470026
3.677685950413223	3.4456521739130435	3.82
3.889294403892944	3.8132854578096946	4.049056603773585
3.7493403693931397	3.6666666666666665	3.75
3.954022988505747	3.8181818181818183	3.973684210526316
3.652173913043478	3.6778523489932886	3.5428571428571427
3.8545454545454545	3.8932038834951457	3.2857142857142856
4.215686274509804	4.2784810126582276	4.0
4.22680412371134	4.177777777777778	4.857142857142857
4.086363636363636	4.138461538461539	3.68
3.4036144578313254	3.406015037593985	3.393939393939394
4.140845070422535	3.980769230769231	4.578947368421052
3.2051282051282053	3.2074074074074073	3.0
4.0359712230215825	4.010204081632653	4.097560975609756
