all_mean	work_mean
4.555555555555555	4.711864406779661
4.571428571428571	4.5
4.5	5.0
5.0	5.0
4.9714285714285715	4.916666666666667
5.0	5.0
4.961538461538462	4.9375
4.880952380952381	4.888888888888889
5.0	5.0
5.0	5.0
4.777777777777778	4.666666666666667
4.7407407407407405	4.708333333333333
4.304347826086956	4.25
4.176470588235294	4.333333333333333
4.25	4.2
4.909090909090909	5.0
3.642857142857143	3.5454545454545454
3.6	3.8
4.4576271186440675	4.5
3.0	3.3333333333333335
4.352941176470588	4.5
4.5	4.5
3.533333333333333	3.909090909090909
4.176470588235294	4.181818181818182
5.0	5.0
5.0	5.0
5.0	5.0
4.666666666666667	4.75
5.0	5.0
4.8	5.0
5.0	5.0
4.909090909090909	4.875
4.454545454545454	4.363636363636363
4.957446808510638	5.0
5.0	5.0
4.444444444444445	4.8
4.3	4.666666666666667
4.944444444444445	5.0
5.0	5.0
4.875	5.0
5.0	5.0
4.26530612244898	4.346153846153846
4.682170542635659	4.614035087719298
5.0	5.0
5.0	5.0
4.9743589743589745	5.0
4.84	4.809523809523809
4.9655172413793105	4.956521739130435
4.9523809523809526	4.9411764705882355
5.0	5.0
5.0	5.0
5.0	5.0
5.0	5.0
4.8	5.0
4.545454545454546	4.375
3.466666666666667	3.5
4.526315789473684	4.416666666666667
5.0	5.0
5.0	5.0
5.0	5.0
5.0	5.0
4.9	5.0
4.684210526315789	4.6875
4.833333333333333	4.714285714285714
4.821428571428571	4.761904761904762
4.857142857142857	4.9375
4.375	5.0
5.0	5.0
5.0	5.0
4.9411764705882355	4.909090909090909
4.182608695652174	4.185714285714286
4.933333333333334	4.9
4.409090909090909	4.4375
4.352941176470588	4.75
4.214285714285714	4.061224489795919
4.857142857142857	4.777777777777778
4.944444444444445	4.916666666666667
5.0	5.0
4.882352941176471	4.857142857142857
5.0	5.0
4.6875	4.615384615384615
5.0	5.0
4.9393939393939394	4.925925925925926
4.875	4.8
5.0	5.0
4.2727272727272725	4.5
4.5	4.655172413793103
5.0	5.0
4.4375	4.518518518518518
4.833333333333333	4.785714285714286
5.0	5.0
4.5	4.636363636363637
4.9772727272727275	4.962962962962963
5.0	5.0
4.8	4.8125
5.0	5.0
4.416666666666667	4.444444444444445
5.0	5.0
4.25	3.857142857142857
5.0	5.0
4.222222222222222	4.333333333333333
4.4	4.285714285714286
4.964285714285714	5.0
4.5	4.666666666666667
4.454545454545454	4.25
5.0	5.0
4.666666666666667	4.875
4.666666666666667	4.666666666666667
4.933333333333334	4.925925925925926
4.972972972972973	4.962962962962963
5.0	5.0
4.583333333333333	5.0
4.947368421052632	4.909090909090909
4.098360655737705	4.029411764705882
5.0	5.0
4.647058823529412	4.454545454545454
4.1415094339622645	4.15
4.62962962962963	4.619047619047619
4.551724137931035	4.525
5.0	5.0
4.533333333333333	4.608695652173913
4.3076923076923075	4.375
4.0	3.875
4.0	4.5
5.0	5.0
4.928571428571429	5.0
5.0	5.0
5.0	5.0
4.362962962962963	4.3076923076923075
4.7368421052631575	4.545454545454546
4.8	4.8076923076923075
4.652631578947369	4.704918032786885
4.75	4.75
5.0	5.0
4.7272727272727275	4.733333333333333
4.75	4.75
5.0	5.0
5.0	5.0
4.333333333333333	4.0
5.0	5.0
3.3333333333333335	3.0
4.0	4.0
4.416666666666667	4.75
4.454545454545454	4.714285714285714
4.909090909090909	4.875
5.0	5.0
4.875	4.8
4.666666666666667	4.333333333333333
4.818181818181818	4.714285714285714
5.0	5.0
5.0	5.0
5.0	5.0
4.0	4.0
5.0	5.0
3.7142857142857144	3.5
3.857142857142857	3.75
3.6666666666666665	3.3333333333333335
4.833333333333333	5.0
4.333333333333333	3.6666666666666665
3.235294117647059	2.9166666666666665
3.9473684210526314	4.0
3.926829268292683	3.730769230769231
3.9565217391304346	4.032258064516129
4.074074074074074	4.2105263157894735
3.3684210526315788	3.5833333333333335
4.111111111111111	4.0
3.2	3.227272727272727
3.6363636363636362	3.5714285714285716
4.72	4.764705882352941
5.0	5.0
4.233333333333333	4.1
5.0	5.0
4.253333333333333	4.2615384615384615
4.6	4.552631578947368
4.0	4.15
3.9743589743589745	4.222222222222222
4.72972972972973	4.7407407407407405
3.4375	3.5
4.185185185185185	4.333333333333333
4.183098591549296	4.211538461538462
4.3076923076923075	4.358974358974359
4.27536231884058	4.288461538461538
3.5	3.5714285714285716
3.875	4.333333333333333
3.260869565217391	3.5625
3.6774193548387095	3.742424242424242
4.206896551724138	4.08
5.0	5.0
4.857142857142857	4.823529411764706
4.777777777777778	4.5
4.88	4.857142857142857
4.636363636363637	4.5
4.9411764705882355	4.918918918918919
4.909090909090909	5.0
4.045454545454546	4.142857142857143
5.0	5.0
5.0	5.0
3.411764705882353	3.090909090909091
4.352941176470588	4.142857142857143
4.571428571428571	4.584745762711864
2.825	2.903225806451613
4.266666666666667	4.6
5.0	5.0
3.857142857142857	4.0
4.04	4.052631578947368
3.64	3.85
3.9	3.8333333333333335
4.262295081967213	4.414634146341464
3.6666666666666665	4.6
3.6923076923076925	3.888888888888889
4.266666666666667	4.416666666666667
4.222222222222222	4.25
3.2222222222222223	3.1666666666666665
4.416666666666667	4.7272727272727275
4.703703703703703	4.681818181818182
5.0	5.0
4.888888888888889	5.0
4.125	4.1
4.571428571428571	4.5
5.0	5.0
4.392156862745098	4.351351351351352
4.857142857142857	4.88
4.615384615384615	4.375
4.714285714285714	4.7727272727272725
4.5	4.5
4.55	4.769230769230769
4.301369863013699	4.375
5.0	5.0
4.3	3.3333333333333335
5.0	5.0
5.0	5.0
3.638888888888889	3.590909090909091
4.571428571428571	4.666666666666667
5.0	5.0
4.875	5.0
3.6	3.576923076923077
5.0	5.0
4.46969696969697	4.5
4.333333333333333	4.6
4.333333333333333	5.0
4.5625	4.857142857142857
4.076923076923077	4.2
3.375	3.0833333333333335
4.0	3.909090909090909
3.9130434782608696	3.6470588235294117
3.782608695652174	4.0
4.542857142857143	4.555555555555555
4.6	4.428571428571429
5.0	5.0
3.5	3.4166666666666665
4.666666666666667	4.68
5.0	5.0
3.1666666666666665	3.0
3.5	3.0
4.827586206896552	4.6
3.7142857142857144	4.0
4.944444444444445	4.909090909090909
4.0	4.0
4.777777777777778	4.666666666666667
4.166666666666667	3.875
4.384615384615385	4.2
4.857142857142857	4.75
3.111111111111111	3.0
3.5849056603773586	3.7096774193548385
4.428571428571429	4.416666666666667
4.642857142857143	4.666666666666667
4.866666666666666	4.777777777777778
4.5	4.368421052631579
3.8333333333333335	3.7777777777777777
4.230769230769231	4.2
4.5	5.0
3.75	3.2
4.28	4.366666666666666
