new_user_id	adgroup_id
0	13159
1	28461
1	22248
1	62658
1	67095
1	8018
1	92869
1	92892
1	916
1	84746
2	61554
2	72573
2	14984
3	5752
4	5276
5	20
5	10560
5	34233
5	761
6	1737
6	27049
6	83862
7	14026
7	45239
7	90737
7	10334
8	25553
8	32381
8	150
8	67877
8	12994
8	74586
8	111586
9	71598
9	9174
9	97811
9	26605
10	88997
10	90423
11	84353
11	84718
11	51915
11	84719
11	86127
11	86254
11	86309
11	36693
11	53024
11	86414
11	88812
11	88843
12	11336
12	14090
12	199
12	97830
12	9990
13	101542
14	58780
14	48641
14	19126
14	61856
14	4295
15	88115
16	39813
16	81131
16	91334
16	79187
16	65696
16	92786
16	24598
17	89804
17	27734
17	99856
17	3466
18	4390
18	32769
18	62601
18	11565
18	58675
18	186
18	88153
18	69120
18	2800
18	93137
18	10182
18	45857
18	21119
18	10335
18	19344
18	89465
18	35651
18	52629
18	80631
19	90329
19	94158
19	94168
19	102249
20	79273
20	33
20	85066
21	54041
21	14402
21	83196
21	19676
22	5043
22	18464
22	29001
22	111964
23	73353
24	19975
24	33449
24	39
24	1880
24	10619
24	100601
24	27332
24	1225
24	9190
24	4331
24	34172
24	79550
24	97048
24	26701
24	80268
24	1706
25	93228
25	6236
26	92688
26	7795
26	49522
26	27248
27	772
27	1496
28	96757
29	92881
29	24036
29	42076
30	86125
30	16766
30	84764
30	25553
30	86887
30	16766
30	3278
31	95772
31	34260
31	890
31	5716
31	9568
31	103192
31	27327
31	44897
32	56308
32	1053
33	83704
33	654
34	1314
34	7031
35	105912
36	85390
36	88959
36	27958
36	623
36	92547
37	84947
37	88838
37	63898
37	2415
37	15316
38	85350
38	34248
38	64125
38	3090
38	99262
38	101156
38	101455
38	101467
38	2746
38	56882
38	85662
38	104014
38	45785
38	107957
38	52127
38	24962
38	20475
38	67764
38	1822
38	69398
39	50325
39	92669
39	18933
39	52250
39	84141
40	50208
41	783
42	89759
42	89760
42	89761
42	60452
42	39381
42	47173
42	91054
42	55158
42	91055
42	91056
42	36318
42	111263
42	111264
42	76158
42	111814
42	110744
42	97555
42	24852
42	112126
43	1531
44	23764
44	52574
45	105857
46	105566
46	105567
47	63856
47	85956
47	52214
48	908
48	89657
48	17958
48	41204
49	52435
50	82979
50	74485
50	60603
50	53272
50	11274
50	43225
50	13371
50	14503
50	68631
51	22618
51	72481
51	36816
51	97118
51	107046
52	38230
52	89801
52	89802
52	101270
52	27274
53	84011
53	20224
53	88303
53	93976
53	94013
53	41160
53	94105
53	4788
53	82
53	101148
53	56766
53	72652
53	105979
54	95638
55	319
56	84494
56	87602
56	38277
56	13007
56	99520
56	99521
56	91659
56	4557
57	84145
57	61581
57	94539
58	2415
58	1388
58	36101
58	86363
59	72384
59	2833
59	27016
59	107038
59	12065
59	15036
59	1015
59	56204
59	108513
59	18790
60	68326
60	60259
60	26919
60	56204
60	70187
61	98996
61	58644
61	90773
62	35486
63	22437
63	514
63	531
63	90136
64	7213
65	87341
66	3805
67	17481
67	86128
67	14355
67	94283
67	74640
68	46635
68	28774
68	45239
68	92222
68	46636
68	307
68	3957
69	1297
69	78663
69	91047
69	91067
69	81695
69	71699
69	20275
69	106573
69	85480
70	34302
70	10459
70	14710
70	13573
70	108937
70	29807
70	36097
71	90295
71	105141
71	105142
71	72905
71	67877
71	97937
71	71910
