original_adgroup_id	new_adgroup_id
573514	0
170301	1
795448	2
652056	3
437393	4
436057	5
620776	6
527476	7
542313	8
599513	9
664554	10
678712	11
723381	12
700234	13
383999	14
621851	15
767267	16
218961	17
754804	18
542538	19
448065	20
539494	21
258032	22
690835	23
464025	24
213882	25
418654	26
549482	27
688158	28
486613	29
747157	30
458544	31
600069	32
578709	33
512448	34
304919	35
530049	36
715708	37
777321	38
125574	39
602926	40
540141	41
170670	42
639504	43
698467	44
612634	45
107587	46
541053	47
372375	48
629072	49
480050	50
604051	51
497945	52
614138	53
388535	54
118317	55
49655	56
391388	57
429642	58
536029	59
474771	60
564819	61
601865	62
368646	63
594262	64
193757	65
630432	66
139748	67
534166	68
518368	69
628204	70
193440	71
589442	72
340193	73
121424	74
562753	75
500367	76
554515	77
328961	78
512277	79
510601	80
80990	81
151471	82
482239	83
642925	84
413143	85
520880	86
246280	87
743856	88
689151	89
493399	90
411809	91
479503	92
705991	93
166307	94
333793	95
663508	96
709851	97
616635	98
637474	99
498834	100
572034	101
565424	102
47879	103
589161	104
744516	105
602702	106
635691	107
262474	108
692007	109
474379	110
164381	111
119627	112
723756	113
597297	114
435278	115
216486	116
660491	117
517723	118
380474	119
640359	120
327805	121
770820	122
741346	123
662751	124
158710	125
623489	126
619447	127
638980	128
418285	129
565721	130
310212	131
403632	132
771748	133
534728	134
663087	135
329152	136
684590	137
674570	138
349324	139
632590	140
604389	141
449379	142
501451	143
708840	144
112378	145
212497	146
404958	147
663437	148
516800	149
543291	150
432445	151
651007	152
584171	153
349390	154
581654	155
542774	156
599439	157
469875	158
667169	159
408369	160
451231	161
658	162
570436	163
384818	164
525118	165
316677	166
723522	167
520973	168
194062	169
229628	170
627044	171
778636	172
65100	173
361284	174
730517	175
309307	176
636260	177
5708	178
591677	179
696395	180
599518	181
548259	182
445569	183
711215	184
600945	185
500966	186
511699	187
682427	188
502032	189
773105	190
573323	191
594063	192
404966	193
415553	194
588878	195
113134	196
65618	197
687099	198
661374	199
695194	200
236542	201
605079	202
650634	203
474156	204
666914	205
506323	206
753724	207
481380	208
510438	209
488299	210
280629	211
474151	212
450160	213
626541	214
672054	215
690222	216
213784	217
636242	218
381669	219
755312	220
611755	221
699813	222
47074	223
397914	224
520499	225
166770	226
116043	227
611738	228
329319	229
701127	230
657201	231
570367	232
527470	233
521083	234
281324	235
498407	236
480569	237
598461	238
616716	239
449486	240
497406	241
687308	242
613903	243
665868	244
445907	245
589136	246
574983	247
382468	248
294483	249
58884	250
40916	251
517384	252
644792	253
610690	254
688012	255
223096	256
446679	257
121146	258
675974	259
642613	260
566304	261
595183	262
681837	263
371253	264
417402	265
457437	266
598094	267
706307	268
569823	269
383926	270
611001	271
495418	272
595807	273
508717	274
479476	275
781665	276
613190	277
611303	278
559175	279
655187	280
116632	281
602083	282
695493	283
745535	284
659608	285
490414	286
452591	287
599184	288
354499	289
147818	290
533081	291
253628	292
27343	293
656282	294
600546	295
708292	296
390974	297
427575	298
219308	299
678022	300
343999	301
60085	302
515447	303
693774	304
564769	305
620351	306
725105	307
737272	308
576466	309
661897	310
107449	311
377921	312
586981	313
243766	314
286286	315
540170	316
744598	317
511084	318
710164	319
637258	320
535145	321
642212	322
427308	323
480290	324
621257	325
639404	326
623966	327
628858	328
524827	329
627668	330
294187	331
379485	332
563377	333
608846	334
684724	335
173618	336
333695	337
721552	338
721158	339
108460	340
644767	341
613732	342
653548	343
689594	344
249986	345
372643	346
514218	347
677916	348
704674	349
650397	350
312231	351
496493	352
454598	353
396026	354
598002	355
621597	356
663119	357
650942	358
238191	359
528175	360
645460	361
519644	362
92508	363
210761	364
690501	365
639986	366
116969	367
554631	368
698874	369
654525	370
616664	371
761975	372
662918	373
356472	374
382476	375
624451	376
528603	377
209804	378
333064	379
532451	380
637120	381
619783	382
595961	383
544391	384
672528	385
562637	386
707680	387
646914	388
582655	389
292606	390
142254	391
253504	392
666783	393
508686	394
635705	395
591242	396
609305	397
744133	398
581955	399
711310	400
663419	401
782792	402
268406	403
192755	404
538910	405
594521	406
608584	407
488209	408
562184	409
717764	410
584192	411
722036	412
580109	413
609419	414
648913	415
649718	416
568944	417
652514	418
615851	419
610524	420
293936	421
530798	422
723666	423
605977	424
180242	425
708078	426
162448	427
439452	428
168493	429
193263	430
789668	431
601224	432
210488	433
744411	434
601783	435
560489	436
481066	437
526518	438
131408	439
328200	440
165657	441
