user_id_new	item_id_new
0	0
1	1
2	1
3	2
4	2
5	2
6	2
7	3
5	3
3	3
4	4
5	4
8	4
9	5
10	5
11	5
12	6
13	6
14	6
15	6
16	6
17	6
18	7
19	7
20	7
21	7
22	7
23	7
24	8
25	8
26	8
27	8
28	9
29	9
30	9
31	9
32	9
10	9
33	9
34	9
35	9
36	9
28	10
37	10
38	10
39	11
40	11
41	12
42	12
43	12
44	12
45	13
46	13
7	13
3	13
47	13
5	14
45	14
48	14
4	14
49	14
7	14
50	14
51	15
52	16
39	16
53	16
29	16
54	16
55	16
56	16
57	16
10	16
58	16
59	16
60	16
61	16
27	16
36	16
30	17
62	17
54	17
32	17
63	17
36	17
64	17
65	17
66	17
4	18
6	18
48	18
44	18
67	18
68	19
69	20
51	20
7	20
44	20
70	21
71	21
72	21
73	21
10	21
74	21
58	21
60	21
36	21
64	21
75	21
76	22
77	22
78	22
79	22
29	22
31	22
53	22
80	22
81	22
72	22
32	22
82	22
83	22
73	22
84	22
85	22
86	22
64	22
65	22
36	22
26	22
24	23
76	23
77	23
78	23
53	23
72	23
87	23
81	23
80	23
32	23
88	23
82	23
38	23
89	23
61	23
90	23
36	23
91	23
92	23
27	23
85	24
42	24
82	25
33	25
40	25
93	26
73	26
94	26
37	26
32	26
95	26
26	26
72	26
29	26
96	26
36	26
97	26
98	26
99	26
100	26
101	26
53	26
55	27
82	27
102	27
66	27
92	27
43	27
103	28
104	29
105	30
106	30
33	31
107	31
52	31
108	31
83	31
10	31
58	31
98	31
95	31
109	31
64	31
110	32
4	32
111	32
112	32
45	33
4	33
110	33
112	33
33	34
94	34
87	34
93	34
37	34
63	34
109	34
65	34
76	35
113	35
29	35
114	35
93	35
115	35
10	35
98	35
116	35
92	35
34	35
117	36
0	36
118	36
34	36
42	36
119	37
8	37
120	38
121	38
122	39
123	39
124	40
45	40
110	40
125	40
49	40
4	40
126	40
127	40
44	40
2	40
49	41
128	41
6	41
119	41
129	41
8	41
51	42
129	42
49	42
6	42
119	42
8	42
47	42
130	42
111	42
124	43
49	43
67	43
4	44
82	45
131	45
43	45
132	46
133	46
134	46
87	46
115	46
32	46
73	46
10	46
56	46
135	46
136	46
65	46
30	47
33	47
10	47
32	47
134	47
90	47
135	47
89	47
92	47
137	47
138	48
139	48
140	48
141	48
142	48
143	49
107	49
144	49
52	49
78	49
132	49
145	49
53	49
100	49
30	49
62	49
108	49
93	49
102	49
115	49
146	49
147	49
73	49
94	49
148	49
32	49
98	49
58	49
135	49
149	49
150	49
151	49
152	49
61	49
153	49
27	49
139	50
140	50
138	50
141	50
139	51
154	51
142	51
155	51
156	51
157	51
158	51
139	52
154	52
142	52
156	52
157	52
155	52
158	52
159	53
160	53
161	53
162	53
163	53
164	53
165	53
166	53
167	53
6	54
7	54
106	54
69	54
44	54
168	54
169	54
8	55
124	55
119	55
106	55
4	55
170	55
125	55
42	55
171	55
127	55
172	55
44	55
8	56
124	56
127	56
168	56
136	57
173	58
174	59
175	59
176	59
177	59
178	59
179	60
180	60
181	60
182	61
183	61
184	61
185	61
186	61
37	62
170	62
151	62
4	63
187	63
112	63
188	64
189	64
5	65
6	65
44	65
4	66
187	66
112	66
173	66
106	67
3	67
190	67
191	68
105	69
45	69
192	69
44	69
50	69
193	69
47	69
194	70
45	70
10	71
195	71
194	71
133	72
129	72
168	72
130	72
51	72
33	72
10	72
5	72
50	72
171	72
137	72
42	72
25	72
133	73
96	73
37	73
9	73
102	73
33	73
5	73
196	73
50	73
25	73
27	73
42	73
197	74
198	74
199	75
200	75
201	75
202	75
203	76
204	76
205	76
206	76
21	76
198	76
23	76
207	76
208	77
209	77
210	77
211	77
45	78
130	78
192	78
4	78
105	78
125	78
212	79
130	79
4	79
213	79
214	80
215	80
118	80
24	80
125	81
214	81
105	81
44	81
50	81
216	81
217	82
57	83
76	84
218	84
87	84
219	84
220	84
97	84
74	84
10	84
221	84
35	84
149	84
151	84
61	84
63	84
222	84
75	84
223	84
57	85
128	85
70	85
41	85
224	85
71	86
225	86
115	86
81	86
10	86
145	86
96	86
226	86
227	86
228	86
63	86
149	86
229	86
61	86
153	86
128	86
222	86
92	86
230	87
33	88
40	88
39	88
231	89
232	90
187	91
42	91
192	92
45	92
126	92
49	93
4	93
233	93
234	93
44	93
109	93
169	93
112	93
6	94
49	94
105	94
127	94
193	94
131	95
42	95
118	96
131	96
235	97
42	97
42	98
235	99
42	99
235	100
42	100
187	101
236	102
87	102
145	102
97	102
221	102
237	102
35	102
149	102
229	102
42	102
238	102
64	102
222	102
239	102
223	102
240	103
241	104
242	104
243	104
244	104
245	104
246	104
247	105
248	105
249	105
131	106
118	106
114	107
250	107
144	107
32	107
115	107
81	107
219	107
134	107
82	107
145	107
143	107
94	107
58	107
251	107
150	107
153	107
27	107
66	107
110	108
45	108
4	108
192	108
187	108
126	108
112	108
111	108
252	109
42	110
195	110
253	111
254	111
255	111
256	111
183	111
257	111
258	111
259	111
260	111
261	111
262	111
263	111
264	111
265	111
266	111
267	111
268	111
269	111
23	111
270	112
271	112
272	113
215	114
8	114
4	114
125	114
51	114
273	114
216	114
274	115
275	116
276	116
277	116
278	117
279	118
280	118
281	118
46	119
129	119
45	119
282	119
173	119
45	120
129	120
65	120
50	120
169	120
190	120
42	120
10	121
42	122
283	123
284	124
285	125
286	125
287	125
288	125
175	125
289	125
10	125
290	125
178	125
194	125
291	125
292	125
293	126
294	126
295	127
37	128
87	128
109	128
296	128
152	128
95	128
43	128
297	129
298	130
299	131
176	132
300	132
301	132
302	132
303	132
118	132
304	132
131	132
42	132
305	132
306	132
307	132
308	133
309	133
310	133
311	133
312	133
313	133
314	133
180	133
315	133
316	133
317	134
301	134
318	134
300	134
319	134
320	134
164	134
321	134
263	135
254	135
322	135
323	135
324	135
325	135
326	135
327	135
328	135
329	135
167	135
23	135
291	135
256	136
176	136
330	136
331	136
210	136
310	136
332	136
327	136
333	136
334	136
335	136
336	136
337	137
338	137
308	137
116	137
0	137
311	137
339	137
340	137
316	137
180	137
341	137
254	138
342	138
324	138
343	138
344	138
345	138
346	138
314	138
347	138
211	138
325	138
167	138
329	138
322	139
256	139
348	139
349	139
347	139
262	139
343	139
350	139
323	139
351	139
259	139
352	139
23	139
307	139
353	139
354	140
355	140
33	141
51	142
192	142
7	142
169	142
127	142
50	142
356	143
357	144
25	145
358	146
4	147
214	148
192	148
359	148
282	148
190	148
171	148
216	148
360	149
361	149
362	150
363	151
364	151
324	151
365	151
178	151
366	151
367	151
368	151
369	151
291	151
370	151
300	152
13	152
328	152
371	152
263	152
310	152
372	152
373	152
374	152
178	152
375	152
376	152
377	152
314	152
302	153
263	153
300	153
378	153
379	153
324	153
380	153
328	153
373	153
178	153
376	153
370	153
51	154
214	154
6	154
50	154
256	155
381	155
382	155
383	155
118	155
263	155
163	155
0	155
384	155
385	155
181	155
42	155
377	155
386	155
387	155
334	155
383	156
388	156
256	156
303	156
389	156
348	156
131	156
390	156
391	156
392	156
178	156
116	156
165	156
393	156
394	156
380	157
348	157
317	157
395	157
18	157
244	157
396	157
310	157
324	157
183	157
178	157
397	157
393	157
165	157
394	157
342	158
302	158
398	158
399	158
18	158
400	158
131	158
0	158
263	158
401	158
402	158
403	158
42	158
404	158
307	158
333	158
405	159
349	159
0	159
402	159
339	159
263	159
406	159
42	159
184	159
306	159
334	159
107	160
148	160
115	160
102	160
134	160
146	160
407	160
151	160
229	160
150	160
61	160
137	160
153	160
251	160
34	160
223	160
27	160
92	160
6	161
168	161
216	162
408	162
409	163
410	163
28	164
24	164
53	164
56	164
411	165
412	166
413	167
128	168
414	169
415	169
416	169
417	169
240	169
418	169
419	169
420	169
73	170
421	170
40	170
73	171
40	171
227	172
69	173
5	173
422	173
162	174
423	174
424	174
425	174
350	174
426	174
393	174
17	174
427	175
428	175
429	175
430	176
431	176
432	176
433	176
434	176
435	176
436	176
389	176
290	176
437	176
438	176
51	177
69	177
5	177
422	177
439	178
440	179
395	180
53	181
87	181
441	181
219	181
97	181
229	181
149	181
95	181
218	181
442	181
153	181
443	181
444	181
42	181
91	181
445	182
224	183
230	184
70	185
446	185
42	185
4	186
49	186
47	186
109	186
53	187
147	187
27	187
92	187
357	187
89	187
447	188
448	189
449	189
450	189
451	189
12	189
0	189
405	189
452	189
204	189
352	189
453	190
174	190
454	190
455	190
180	190
42	191
456	192
457	192
458	193
459	193
460	194
461	194
462	194
463	194
464	195
465	195
466	195
309	196
467	196
210	196
468	196
20	196
469	196
470	197
471	197
472	197
400	197
473	197
320	197
404	197
314	197
